codigo,descripcion
0028.00.00.000P,"PRODUCTOS QUIMICOS INORGANICOS; COMPUESTOS INORGANICOS U ORGANICOS DE METAL PRECIOSO, DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS TIERRAS RARAS O DE ISOTOPOS"
00.29,
0029.00.00.000H,PRODUCTOS QUIMICOS ORGANICOS
0030.00.00.000M,PRODUCTOS FARMACEUTICOS
0031.00.00.000F,ABONOS
0032.00.00.000Z,EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUS DERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES; PINTURAS Y BARNICES; MASTIQUES; TINTAS
0033.00.00.000T,"ACEITES ESENCIALES Y RESINOIDES; PREPARACIONES DE PERFUMERIA, DE TOCADOR O DE COSMETICA"
0034.00.00.000L,"JABON, AGENTES DE SUPERFICIE ORGANICOS, PREPARACIONES PARA LAVAR, PREPARACIONES LUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS, PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, <CERAS PARA ODONTOLOGIA> Y PREPARACIONES PARA ODONTOLOGIA A BASE DE YESO FRAGUABLE"
0035.00.00.000E,MATERIAS ALBUMINOIDEAS; PRODUCTOS A BASE DE ALMIDON O DE FECULA MODIFICADOS; COLAS; ENZIMAS
0036.00.00.000Y,POLVORA Y EXPLOSIVOS; ARTICULOS DE PIROTECNIA; FOSFOROS (CERILLAS); ALEACIONES PIROFORICAS; MATERIAS INFLAMABLES
0037.00.00.000R,PRODUCTOS FOTOGRAFICOS O CINEMATOGRAFICOS
00.38,
0038.00.00.000K,PRODUCTOS DIVERSOS DE LAS INDUSTRIAS QUIMICAS
00.39,
0039.00.00.000D,PLASTICO Y SUS MANUFACTURAS
0040.00.00.000H,CAUCHO Y SUS MANUFACTURAS
0041.00.00.000B,PIELES (EXCEPTO LA PELETERIA) Y CUEROS
0042.00.00.000V,"MANUFACTURAS DE CUERO; ARTICULOS DE TALABARTERIA O GUARNICIONERIA; ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS) Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA"
0043.00.00.000N,PELETERIA Y CONFECCIONES DE PELETERIA; PELETERIA FACTICIA O ARTIFICIAL
0044.00.00.000G,"MADERA, CARBON VEGETAL Y MANUFACTURAS DE MADERA"
0045.00.00.000A,CORCHO Y SUS MANUFACTURAS
0046.00.00.000U,MANUFACTURAS DE ESPARTERIA O CESTERIA
